1310 0 1
113 828 829
1754 914 915
2158 988 989
2399 1054 1055
2716 1112 1113
2934 1170 1171
3146 1224 1225
3369 1274 1275
3608 1320 1321
3755 1366 1367
3927 1412 1413
4118 1454 1455
4372 1496 1497
4530 1534 1535
4676 1572 1573
4880 1610 1611
5042 1648 1649
5257 1696 1697
5408 1720 1721
5616 1754 1755
5849 1788 1789
5883 1818 1819
6090 1852 1853
6346 1882 1883
6430 1926 1927
6624 1946 1947
6817 1976 1977
6916 2016 2017
7080 2032 2033
7280 2062 2063
7376 2102 2103
7489 2118 2119
7655 2158 2159
7882 2174 2175
7852 2142 2143
8095 2116 2117
8279 2098 2099
8339 2098 2099
8402 2097 2098
8589 2077 2078
8601 2083 2084
8782 2063 2064
8886 2055 2056
9005 2044 2045
9049 2044 2045
9194 2029 2030
9239 2028 2029
9328 2020 2021
9285 2031 2032
9502 2004 2005
9615 1993 1994
9514 2012 2013
9668 1994 1995
9618 2005 2006
9770 1987 1988
9816 1985 1986
9778 1995 1996
9866 1986 1987
9803 1998 1999
9976 1976 1977
9889 1992 1993
9936 1988 1989
9930 1993 1994
10014 1984 1985
9873 2008 2009
10078 1981 1982
9822 2022 2023
9918 2011 2012
9932 2013 2014
9843 2029 2030
9834 2034 2035
9766 2047 2048
9788 2048 2049
9726 2060 2061
9769 2058 2059
9603 2086 2087
9704 2075 2076
9512 2107 2108
9476 2117 2118
9453 2125 2126
9339 2146 2147
9411 2140 2141
9211 2174 2175
9207 2180 2181
9170 2190 2191
9093 2206 2207
8967 2229 2230
8875 2248 2249
8903 2250 2251
8741 2280 2281
8734 2288 2289
8685 2301 2302
8693 2307 2308
8430 2352 2353
8531 2344 2345
8415 2368 2369
8341 2386 2387
8257 2405 2406
8225 2417 2418
8228 2425 2426
8074 2455 2456
8189 2446 2447
8026 2478 2479
8063 2481 2482
7961 2504 2505
7984 2509 2510
7950 2522 2523
7836 2547 2548
7893 2548 2549
7838 2565 2566
7781 2582 2583
7825 2585 2586
7768 2602 2603
7627 2632 2633
7780 2619 2620
7685 2642 2643
7639 2658 2659
7612 2671 2672
7622 2680 2681
7515 2705 2706
7456 2723 2724
7502 2727 2728
7392 2753 2754
7369 2766 2767
7285 2788 2789
7251 2803 2804
7177 2824 2825
7054 2852 2853
7022 2867 2868
6875 2900 2901
6896 2909 2910
6753 2942 2943
6644 2969 2970
6498 3002 3003
6423 3025 3026
6324 3052 3053
6197 3083 3084
6036 3120 3121
5958 3145 3146
5773 3186 3187
5717 3208 3209
5599 3240 3241
5438 3279 3280
5288 3316 3317
5307 3329 3330
5042 3384 3385
5024 3402 3403
4947 3430 3431
4871 3458 3459
4724 3497 3498
4743 3511 3512
4730 3530 3531
4588 3568 3569
4720 3567 3568
4649 3595 3596
4634 3615 3616
4649 3630 3631
4636 3650 3651
4634 3668 3669
4621 3688 3689
4657 3700 3701
4644 3720 3721
4566 3749 3750
4568 3766 3767
4561 3785 3786
4492 3813 3814
4390 3846 3847
4367 3868 3869
4249 3904 3905
4145 3938 3939
4075 3967 3968
3954 4004 4005
3853 4038 4039
3713 4078 4079
3695 4101 4102
3528 4146 4147
3505 4170 4171
3460 4198 4199
3442 4222 4223
3505 4234 4235
3503 4255 4256
7431 7592 7593
7310 7620 7621
7280 7634 7635
7143 7664 7665
7065 7686 7687
6890 7723 7724
6705 7761 7762
6554 7795 7796
6349 7837 7838
6165 7877 7878
5926 7925 7926
5699 7972 7973
5457 8022 8023
5264 8065 8066
5039 8114 8115
4829 8161 8162
4630 8207 8208
4549 8236 8237
4413 8274 8275
4380 8297 8298
4446 8307 8308
4489 8319 8320
4647 8315 8316
4766 8316 8317
5052 8292 8293
5208 8287 8288
5438 8270 8271
5698 8248 8249
5871 8239 8240
6151 8213 8214
6328 8202 8203
6534 8186 8187
6660 8181 8182
6849 8166 8167
6970 8161 8162
7070 8159 8160
7173 8156 8157
7285 8151 8152
7290 8161 8162
7287 8172 8173
7367 8171 8172
7313 8189 8190
7232 8211 8212
7244 8220 8221
7104 8251 8252
6989 8278 8279
6866 8307 8308
6682 8345 8346
6489 8385 8386
6324 8421 8422
6082 8469 8470
5802 8523 8524
5534 8576 8577
5284 8627 8628
4960 8690 8691
4697 8745 8746
4394 8807 8808
4127 8864 8865
3914 8914 8915
3775 8954 8955
3728 8981 8982
3760 8996 8997
3881 8999 9000
4093 8989 8990
4350 8972 8973
4619 8952 8953
4957 8921 8922
5242 8897 8898
5553 8869 8870
5820 8846 8847
6073 8824 8825
6311 8804 8805
6527 8786 8787
6766 8764 8765
6879 8760 8761
7042 8748 8749
7180 8740 8741
7256 8741 8742
7276 8749 8750
7363 8747 8748
7320 8764 8765
